Month,usg_apt,fg_apt,carrier,type,Scheduled
6,MIA,MDE,AA,Passengers,14309
6,BOS,FCO,AZ,Passengers,14294
6,LAX,CDG,TN,Passengers,14270
6,IAH,PEK,CA,Passengers,14268
6,LAX,NRT,SQ,Passengers,14261
6,EWR,LHR,VS,Passengers,14258
6,LAX,BNE,VA,Passengers,14240
6,JFK,SCL,LA,Passengers,14226
6,JFK,JNB,SA,Passengers,14197
6,SFO,HKG,SQ,Passengers,14169
6,MIA,GCM,AA,Passengers,14168
6,IAH,YYC,UA,Passengers,14168
6,DTW,FCO,DL,Passengers,14163
6,DEN,YYZ,UA,Passengers,14149
6,LAX,LHR,UA,Passengers,14148
6,CLT,PLS,AA,Passengers,14140
6,DFW,FRA,AA,Passengers,14121
6,MCO,DXB,EK,Passengers,14081
6,EWR,PVG,UA,Passengers,14065
6,LAX,PVR,AS,Passengers,14056
6,ORD,BRU,UA,Passengers,14040
6,MIA,CUR,AA,Passengers,14034
6,ORD,YYZ,KV,Passengers,14015
6,EWR,ARN,SK,Passengers,13981
6,ORD,NRT,UA,Passengers,13980
6,TPA,LGW,BA,Passengers,13964
6,ORD,MUC,UA,Passengers,13957
6,LAS,LHR,VS,Passengers,13957
6,SFO,CAN,CZ,Passengers,13951
6,MSP,HND,DL,Passengers,13945
6,MIA,HAV,DL,Passengers,13923
6,MIA,SNU,AA,Passengers,13881
6,LAX,LIM,LA,Passengers,13870
6,MCO,LGW,DI,Passengers,13801
6,MIA,PAP,AA,Passengers,13775
6,SFO,MUC,UA,Passengers,13768
6,MIA,UVF,AA,Passengers,13749
6,JFK,DUB,DL,Passengers,13738
6,DFW,AMS,AA,Passengers,13735
6,SFO,CPH,SK,Passengers,13734
6,EWR,PEK,UA,Passengers,13730
6,IAH,NRT,NH,Passengers,13718
6,IAH,YVR,UA,Passengers,13685
6,SFO,MEX,UA,Passengers,13678
6,IAH,YYZ,UA,Passengers,13677
6,LAX,BOG,AV,Passengers,13675
6,ATL,DUB,DL,Passengers,13671
6,JFK,MAD,DL,Passengers,13625
6,IAH,AMS,UA,Passengers,13615
6,EWR,OSL,SK,Passengers,13608
6,ATL,MAD,DL,Passengers,13601
6,SEA,LHR,VS,Passengers,13597
6,PHL,DUB,AA,Passengers,13597
6,MIA,BZE,AA,Passengers,13587
6,DTW,YUL,G7,Passengers,13584
6,IAD,AUH,EY,Passengers,13565
6,HNL,HND,NH,Passengers,13559
6,SFO,SYD,UA,Passengers,13558
6,IAD,LHR,VS,Passengers,13541
6,MCO,MEX,B6,Passengers,13530
6,SFO,SJD,UA,Passengers,13523
6,JFK,TXL,DL,Passengers,13520
6,SFO,NRT,NH,Passengers,13503
6,JFK,POS,B6,Passengers,13498
6,MSP,KEF,FI,Passengers,13496
6,IAD,MUC,UA,Passengers,13485
6,ORD,NRT,NH,Passengers,13483
6,ORD,HKG,UA,Passengers,13465
6,ATL,FRA,LH,Passengers,13463
6,STL,CUN,F9,Passengers,13437
6,MCO,MEX,AM,Passengers,13415
6,LAX,PVG,UA,Passengers,13389
6,SFO,YYC,UA,Passengers,13386
6,DFW,FRA,LH,Passengers,13376
